financial_statement,section,variable-key,hierarchy,parent,historical_formula,forecast_formula,color,previous,next,Key
Balance Sheet,Activity Ratios,AR-purchases,2,,independent_variable,[AR-purchases](t-1),colors.charting.color13.base,,AR-eoynetworkingcapital,AR-purchases
Balance Sheet,Activity Ratios,AR-eoynetworkingcapital,2,,independent_variable,[AR-eoynetworkingcapital](t-1),colors.charting.color13.base,AR-purchases,AR-avgnetworkingcapital,AR-eoynetworkingcapital
Balance Sheet,Activity Ratios,AR-avgnetworkingcapital,2,,independent_variable,[AR-avgnetworkingcapital](t-1),colors.charting.color13.base,AR-eoynetworkingcapital,AR-receivablesturnover,AR-avgnetworkingcapital
Balance Sheet,Activity Ratios,AR-receivablesturnover,2,,independent_variable,[AR-receivablesturnover](t-1),colors.charting.color9.base,AR-avgnetworkingcapital,AR-inventoryturnover,AR-receivablesturnover
Balance Sheet,Activity Ratios,AR-inventoryturnover,2,,independent_variable,[AR-inventoryturnover](t-1),colors.charting.color9.base,AR-receivablesturnover,AR-payablesturnover,AR-inventoryturnover
Balance Sheet,Activity Ratios,AR-payablesturnover,2,,independent_variable,[AR-payablesturnover](t-1),colors.charting.color5.base,AR-inventoryturnover,AR-dso,AR-payablesturnover
Balance Sheet,Activity Ratios,AR-dso,2,,365*[BS-accountsreceivable]/[IS-revenue],[AR-dso](t-1),colors.charting.color13.base,AR-payablesturnover,AR-doh,AR-dso
Balance Sheet,Activity Ratios,AR-doh,2,,365*[BS-inventoryandothercurrentassets]/[IS-costofsales],[AR-doh](t-1),colors.charting.color13.base,AR-dso,AR-dpo,AR-doh
Balance Sheet,Activity Ratios,AR-dpo,2,,365*[BS-accountspayable]/[IS-costofsales],[AR-dpo](t-1),colors.charting.color13.base,AR-doh,AR-cashconversioncycle,AR-dpo
Balance Sheet,Activity Ratios,AR-cashconversioncycle,2,,[AR-dso]+[AR-doh]-[AR-dpo],[AR-cashconversioncycle](t-1),colors.charting.color9.base,AR-dpo,AR-tangibleassetstosales,AR-cashconversioncycle
Balance Sheet,Activity Ratios,AR-tangibleassetstosales,2,,independent_variable,[AR-tangibleassetstosales](t-1),colors.charting.color9.base,AR-cashconversioncycle,AR-intangible-otherfixedassetstosales,AR-tangibleassetstosales
Balance Sheet,Activity Ratios,AR-intangible_otherfixedassetstosales,2,,independent_variable,[AR-intangible-otherfixedassetstosales](t-1),colors.charting.color9.base,AR-tangibleassetstosales,AR-fixedassetstosales,AR-intangible-otherfixedassetstosales
Balance Sheet,Activity Ratios,AR-fixedassetstosales,2,,independent_variable,[AR-fixedassetstosales](t-1),colors.charting.color9.base,AR-intangible-otherfixedassetstosales,AR-totalassetstosales,AR-fixedassetstosales
Balance Sheet,Activity Ratios,AR-totalassetstosales,1,,independent_variable,[AR-totalassetstosales](t-1),colors.charting.color9.base,AR-fixedassetstosales,AR-totalassetturnover,AR-totalassetstosales
Balance Sheet,Activity Ratios,AR-totalassetturnover,1,,independent_variable,[AR-totalassetturnover](t-1),colors.charting.color9.base,AR-totalassetstosales,BS-cash-cashequivalents,AR-totalassetturnover
Balance Sheet,Balance Sheet,BS-cash_cashequivalents,2,BS-currentassets,independent_variable,[BS-cash-cashequivalents](t-1),colors.charting.color9.base,AR-totalassetturnover,BS-accountsreceivable,BS-cash-cashequivalents
Balance Sheet,Balance Sheet,BS-accountsreceivable,2,BS-currentassets,independent_variable,[BS-accountsreceivable](t-1),colors.charting.color9.base,BS-cash-cashequivalents,BS-inventoryandothercurrentassets,BS-accountsreceivable
Balance Sheet,Balance Sheet,BS-inventoryandothercurrentassets,1,BS-currentassets,independent_variable,[BS-inventoryandothercurrentassets](t-1),colors.charting.color9.base,BS-accountsreceivable,BS-currentassets,BS-inventoryandothercurrentassets
Balance Sheet,Balance Sheet,BS-currentassets,1,BS-totalassets,[BS-cash-cashequivalents]+[BS-accountsreceivable]+[BS-inventoryandothercurrentassets],[BS-currentassets](t-1),colors.charting.color9.base,BS-inventoryandothercurrentassets,BS-tangibleassets,BS-currentassets
Balance Sheet,Balance Sheet,BS-tangibleassets,1,BS-fixedassets,independent_variable,[BS-tangibleassets](t-1),colors.charting.color9.base,BS-currentassets,BS-intangibleandotherfixedassets,BS-tangibleassets
Balance Sheet,Balance Sheet,BS-intangibleandotherfixedassets,1,BS-fixedassets,independent_variable,[BS-intangibleandotherfixedassets](t-1),colors.charting.color9.base,BS-tangibleassets,BS-fixedassets,BS-intangibleandotherfixedassets
Balance Sheet,Balance Sheet,BS-fixedassets,1,BS-totalassets,[BS-tangibleassets]+[BS-intangibleandotherfixedassets],[BS-fixedassets](t-1),colors.charting.color9.base,BS-intangibleandotherfixedassets,BS-totalassets,BS-fixedassets
Balance Sheet,Balance Sheet,BS-totalassets,1,,[BS-currentassets]+[BS-fixedassets],[BS-totalassets](t-1),colors.charting.color9.base,BS-fixedassets,BS-accountspayable,BS-totalassets
Balance Sheet,Balance Sheet,BS-accountspayable,2,BS-currentliabilities,independent_variable,[BS-accountspayable](t-1),colors.charting.color5.base,BS-totalassets,BS-shorttermdebt,BS-accountspayable
Balance Sheet,Balance Sheet,BS-shorttermdebt,2,BS-currentliabilities,independent_variable,[BS-shorttermdebt](t-1),colors.charting.color5.base,BS-accountspayable,BS-othercurrentliabilities,BS-shorttermdebt
Balance Sheet,Balance Sheet,BS-othercurrentliabilities,1,BS-currentliabilities,independent_variable,[BS-othercurrentliabilities](t-1),colors.charting.color13.base,BS-shorttermdebt,BS-currentliabilities,BS-othercurrentliabilities
Balance Sheet,Balance Sheet,BS-currentliabilities,1,BS-totalliabilities,[BS-accountspayable]+[BS-shorttermdebt]+[BS-othercurrentliabilities],[BS-currentliabilities](t-1),colors.charting.color13.base,BS-othercurrentliabilities,BS-longtermdebt,BS-currentliabilities
Balance Sheet,Balance Sheet,BS-longtermdebt,2,BS-longtermliabilities,independent_variable,[BS-longtermdebt](t-1),colors.charting.color5.base,BS-currentliabilities,BS-otherlongtermliabilities,BS-longtermdebt
Balance Sheet,Balance Sheet,BS-otherlongtermliabilities,1,BS-longtermliabilities,independent_variable,[BS-otherlongtermliabilities](t-1),colors.charting.color13.base,BS-longtermdebt,BS-longtermliabilities,BS-otherlongtermliabilities
Balance Sheet,Balance Sheet,BS-longtermliabilities,1,BS-totalliabilities,[BS-longtermdebt]+[BS-otherlongtermliabilities],[BS-longtermliabilities](t-1),colors.charting.color13.base,BS-otherlongtermliabilities,BS-totalliabilities,BS-longtermliabilities
